"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Slc35f6",2.05,0,2.67,279.35,0,0,0,0.59,0,0,20.35,0,0,0,0,0,0.21,0.38,1.49,0,0.23,0,31.55,0,0,2.4,0,0,0,73.3,0,0,4.57,50.21,0,0,0,0,0,0,0,0,0,18.39,0,0,1.85,0,0,0,5.69,33.24,0.21,11.96,0,0,0.34,0,0,14.28,0,0,0,7.91,97.32,0.42,0,1.55,0,40.13,37.45,0,2.73,13.05,1.28,0,0,0
"Anapc4",190.73,0,45.52,0,1.97,70.88,0,20.69,0,6.3,77.84,10.17,19.59,11.59,382.67,33.65,2.28,47.8,112.73,515.54,0,108.4,901.82,0,1.32,21.7,0,135.28,0,3.65,43.11,15.33,20.05,0,0.4,39.17,0,0,1.72,45.17,0,0,4.19,147.99,23.54,78.13,55.55,152.56,1.1,59.33,0,90.12,27.52,268.47,62.37,38.45,218.36,173.31,207.57,34.1,0.84,1.02,73.68,11.41,99.2,95.28,0.21,110.63,11.5,90.44,20.2,66.85,6.02,320.97,207.4,307.24,109.37,0.24
"Klf3",204.47,0,61.18,249.45,81.58,97.61,0,127.6,379.25,43.61,51.23,18.07,2.57,513.35,167.84,416.51,46.47,5.15,9.05,54.27,109,10.83,7.96,89.29,2.28,49.46,4.58,15.48,0,78.89,39.96,82.39,43.19,89.23,85.79,60.05,315.01,201.02,17.57,140.03,200.73,0,105.14,47.22,60.51,59.3,11.12,28.9,77.59,147.85,6.76,49.42,41.37,18.39,27.75,24.6,151.18,167.7,0,1.66,28.5,196.08,0.75,6.14,60.48,20.08,15.48,59.79,3.24,137.43,163.1,69.89,79.09,2.05,111.86,77.89,38.23,54.89
"Zcchc4",0.29,0,0,0.92,0,0,0,0,0,16.15,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0.24,0,0.19,8.39,0,0.14,20.26,2.02,0,69.83,0.54,0,0.57,1.61,0,0.64,0,0.15,1.73,0.62,3.05,5.41,0.66,1.78,0.06,0.36,0,8.53,0,75.51,0,0.17,0.15,4.42,0,0,0,0,1.24,0,33.26,0,0,0,0,0,0.75,0.28
"Fam114a1",0.24,327.99,2.29,0,0,419.94,0,0,110.46,0,86.87,288.16,0,3.5,48.42,38.35,0,10.38,28,0,0.49,3.1,0,0,42.76,65.19,0,60.04,0,24.61,5.13,36,7.84,0,0,0,0,0,0,0,119.2,0,91.5,0.28,0.3,0,1.74,0,0.32,0,0,0,0,52.61,0,0,0,0,0,0,537.21,48.26,0,0,17.84,0.22,0,0,0,19.84,5.42,0.25,0,315.29,0,0,0,136.48
"Pi4k2b",0.45,0,0,18.68,0,0,0,0,0,0,0,0.28,0,20.02,0,0,1.39,0,0,39.19,146.11,0,0.91,0.69,0,15.35,0,24.85,0,15.4,0,34.16,47.22,0,11.65,174.16,0,1.76,0,3.84,0,0,0,8.08,52.03,1.25,67.33,51.66,0,0,42.87,0,0,0,0,0,0,0,7.97,0,0,0,0,1.17,0.35,0.34,0,0,0,17.88,51.07,0.7,0,0,1.34,0,35.54,20.93
"D5Ertd579e",105.87,0.14,0,12.07,3.82,0,0,140.36,0.14,0.34,57.72,0,0,8.54,2.98,0,0,0,52.64,0,0,0,0,0,0,0.2,272.63,18.96,1.37,0,0,0,6.53,0,43.19,24.59,0,0,21.52,0,1.51,0,0,32.72,51.26,2.81,0,0,0.15,25,0.17,4.7,175.23,0,35.55,0,0,0.33,10.39,0.08,0,0,0.69,0,0.22,0,0,123.78,0.38,72.23,31.97,8.61,3.91,0.84,26.56,0,121.68,0
"Tbc1d14",0,0,0,0,0,0,0.28,3.84,0,0,1.88,4.16,0,8.32,0,0.36,0.34,0,0,0,3.24,0,0,0,0,4.38,0,0,0,0,0,0,0,69.5,39.82,3.3,0.18,0,0.24,4.25,0,0.25,0,20.85,0,34.54,0,0.13,0,0,0.94,0,102.59,98.73,90.21,0,168.15,0,0,75.52,295.59,0.23,1.38,0,0,0,0,0.52,0,0,0,0,0,0,0,0,2.41,0
"Tada2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.69,0,0,0,0,0,2.39,0,23.08,0.34,0,0,0,0,0,0,5.68,0,0,0,29.08,0,0,0,0.86,0,0,0,0,0,0,0,0.51,0.93,0,0,2.63,0,9.68,0,21.14,0,0,0,0,2.65,0,6.9,6.65,33.48,0,0,0,0,45.64,0,0,0,0,0,7.48,0,9.71,0
"Grpel1",102.97,170.46,295.88,8.71,125.04,51.95,67.19,83.03,53.38,27.25,79.36,76.91,98.71,142.32,116.01,38.61,83.28,89.84,86.51,21.22,71.47,22.53,19.51,35.18,79.69,62.69,149.27,87.31,16.92,0.59,163.9,85.81,121.44,148.76,73.55,104.87,112.16,33.73,172.56,94.73,105.58,0,81.77,66.92,22.08,71.15,54.32,4.01,94.24,236.18,56.8,252.7,1.22,158.81,50.41,53.37,141.21,109.87,148.38,106.57,4.96,109.57,99.1,78.98,180.25,26.93,0,89.35,177.45,85.72,67.42,117.31,13.87,7.66,49.61,30.44,123,59.13
