"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"H19",0,0,0,248.95,0,0,0,0,0,0,0,0,1.2,0,0,52.77,0.3,152.46,0,125.32,14.58,272.06,3.69,0,284.9,25.59,22.47,0.78,59.91,0,85.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Narf",0,292.66,0,0,126.38,0.56,4.23,0,0,162.46,6.24,18.57,0,0.16,13.89,0,0,34.71,51.51,17.58,24.44,0,0,0,75.25,15.39,0,0,0,0,29.15,0,1.5,0,5.59,2.58,0.22,0,0,0,0,0,0,17.78,0.78,0,13.59,1.67,14.38,0,8.62,19.62,45.01,0,87.89,0,2.65,0.29,0,0.48,2.19,29.42,18.56,0,0,0.15,11.2,0,32.17,5.57,0,0,0,1.35,161.32,0,0.14,3.83
"Cav2",0,0,0,0,14.34,301.6,0,12.16,58.58,106.23,150.3,6.54,5.84,1.89,89.53,97.03,0,0,65.81,247.78,322.92,66.26,4.23,0.49,0,89.71,377.72,147.63,0,0,0,0.55,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.39,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klf6",11.65,171.93,2.56,203.1,7.05,189.5,248.97,519.6,455.05,91.7,24.61,4.02,160.4,0,1.66,126.53,10.16,0.54,50.79,19.46,117.43,87.05,31.9,20.56,2.49,93.47,125.91,116.5,80.86,61.52,89.82,48.24,149.84,0,104.63,0,12.59,0.64,66.4,27.02,49.75,0,103.18,93.38,80.87,0,10.39,0.58,51.3,80,29.11,28.08,0,35.04,105.13,5.25,8.2,41.92,0,1.25,0,0,40.74,62.95,9.18,3.35,45.85,11.02,72.65,1.05,44.26,0.34,15.63,231.36,241.79,0,123.86,123.3
"Scmh1",7.41,0,2.57,33.11,320.07,11.29,26.05,138.74,0,95.99,36.59,0,47.76,0,0,0,1.77,2.08,35.76,0,11.78,0,9.66,0.92,0,8.59,21.81,5.37,0,18.42,121.41,0.44,238.34,0,5.71,233.72,0,0,0.77,0,433.6,0,105.88,232.58,31.57,0.22,4.84,80.26,0,0,1.47,41.44,0,0,32.55,0,0.41,0.18,0,49.67,0,0,8.65,70.13,0,0,0,331.77,157,0,144.82,21.28,0,0,0,12.11,126.3,3.56
"Tbx2",5.39,0,0,0,0,0,0,0,5.47,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,14.86,0,19.9,0,0,12.69,30.69,0,0,35.31,0,0,0.36,20.55,6.22,0.19,31.19,3.33,0.24,15.89,2.43,0.58,27.88,0,0,0,24.42,32.33,0.12,0,0,36.88,0,0,0,0,0,2.1,0.91,2.31,0,0,2.61,0.41,0,0.2,1.93,11.86,1.08,0,1.9,0
"Fer",0,0,0,145.22,0,4.86,0,87.14,0,6.56,3.18,53.52,0,23.88,1.33,7.58,0,3.1,122.85,0,0,0,1.59,1.32,0,13.15,96.19,0.4,0,0,20.23,10.47,43.21,0,17.59,0,0,51.89,14.92,11.26,0,0,0,75.71,0,0,0,27.71,32.73,0,0,67.23,0,0,88.65,262.03,0,20.1,78.65,198.09,0,13.05,58.35,28.82,45.74,0.65,0,0,0,22.88,12.21,5.38,0,4.7,0,0,76.05,0
"Xpo6",6.85,0.79,1.01,0,28.94,1.35,0,47.47,4.4,0,0.18,0,0,42.27,65.01,0.36,32.7,0,0,0,43.7,0,96.16,25.3,0,0,0,7.15,0,0,8.25,106.95,93.39,6.02,0.27,15,7.57,20.39,106.76,15.73,82.84,0.25,19.24,20.29,66.31,62.32,116.42,33.78,14.69,171.53,22.55,22.18,0,0,3.21,43.74,0,6.11,0,17.95,70.76,443.02,241.11,65.13,300.87,17.76,14.58,62.04,81.39,2.2,100.28,147.87,5.75,36.94,122.47,0,69.58,38.33
"Tfe3",0,0,10.45,4.9,242.68,0,0,0,0,58.61,0,0,0,5.28,0,0,23.43,0.48,3.06,0,107.39,0,9.07,0,0,1.88,0.3,0,0,0.32,48.4,36.41,72.52,168,2.94,74.6,109.7,2.37,0.83,0,0,0,2.22,15.62,88,22.35,3.69,110.58,0,0.77,7.27,20.67,35.57,129.97,0,5.9,0,30.85,0,2.96,0,34.62,4.5,28.62,10.9,0,0,19.05,9.32,0,0,1.12,15.24,4.21,11.71,0,25.96,19.78
"Axin2",0,0,3.33,0,0,51.08,1.18,0,0,0,0,9.22,0,0,0,13.47,0,0,0,0,42.47,0,26,0,0,1.25,0,0.61,0,0,0.66,4.78,4.07,0.24,0,97.74,0,0,0,10.6,0,2.08,2.52,39.29,0.88,5.93,4.15,20.64,9.69,0,41.65,2.86,11.75,0,0,0,17.08,0,48.51,0,0,83.89,92.78,0,0,0,13.98,0,17.07,0,2.23,18.52,0,0,21.88,0,0.29,0
"Brat1",0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.22,0,0,0,0,0,0,0,0,0,84.18,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,62.97,0,0,0,0,0,0,0,0,0,14.22,0,0,56.66,0,0,0,0,0,0,0,0.76,0,0,0,0,1.84,67.92,0,0,22.91,0,0.47,0,0,13.61,12.79
"Gna12",312.32,0,0,0,0,0,0,0,2.5,9.6,0.46,72.57,0,0.21,0,31.34,0,0,0,0.78,0,0,0,0,0,0,0.45,4.91,0.31,0,0,0.29,12.92,2.68,32.79,0,0,0.16,12.28,0,0,0,16.73,21.5,0.76,18.28,13.68,0,93.01,131.05,13.39,0.38,0,71.96,37.55,0,0,0,1.96,70.47,0,0,0,52.23,0,0.76,0,10.56,0,0,6.99,0,9.23,17.32,0,0,3.5,0.28
"Slc22a18",0,0,0,0,0,0,0,0,0,128.72,0,112.83,0,0,0,0,0,0,0,0,0,0,6.44,0,0,26.29,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,0,0,0,0,16.15,0,0,0,0,0,0,0,0,0,0,471.57,0,0,0,0,0,0,0,0,0,0,0
"Pih1d2",0,0,0,0,0,0,0,0,0,93.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16,0,0,0,35.46,0,0,0,0,0,111.58,0,0,0,0,0,1.22,53.73,0,0,0.68,0,0,0,0,0,0,0,0.55,1.28,0,0,115.12,0,0,17.43,0,0,0,0,0,30.98,0,1.05,0,0,0,0,0,1.33
"Dlat",5.02,0,2.46,61,215.96,0,0,0,0,54.29,10.86,47.77,0,55.71,6.97,107.42,0.16,0,0,0,0.17,0,16.55,234.86,0,7.21,0,118.44,12.62,3.58,3.01,106.02,0.16,0,2.18,0,3.78,5.52,14.68,96.43,375.83,0,0.41,7.05,69.8,33.22,0,12.93,3.24,7.75,15.24,41.31,36.36,0.12,75.21,13.48,89.51,0.79,0,0,0,0,23.5,14.89,36.33,27.89,0,9.03,25.91,10.16,54.16,23.18,0,55.39,0,3.9,22.88,0
"Ccnd2",350.84,430.18,56.08,32.94,374.95,676.14,0.12,11.97,28.84,1169.74,997.88,305.68,42.26,551.77,908.76,335.09,524.6,325.29,267.06,1539.78,212.45,694.07,21.66,273.02,1019.05,67.14,1374.23,497.18,329.61,599.21,101.29,61.55,265.1,0.58,249.65,983.23,3502.75,0,103.11,111.59,336.9,587.97,43.62,1486.69,1028.78,77.47,154.61,105.94,28.41,29.89,5.68,0.75,230.36,631.86,114.69,126.23,382.58,26.99,56.06,85.11,90.63,758.42,210.44,686.3,69.61,220.32,62.24,92.98,757.2,36.57,456.61,591.83,97.4,234.08,29.5,436.26,1271.85,830.74
"Gpr107",4.32,1.28,16.54,479.63,53.14,37.71,0.12,3.43,138.09,0.11,15.11,211.65,0.22,7.31,0,1.02,12.64,342.65,117.57,0.74,74.5,309.22,67.49,4.07,0.35,77.59,0,7.14,0.24,255.82,0,2.17,258.86,48.98,224.65,44.33,12.73,1.94,15.32,2.58,2.02,0.23,0.9,10.74,90.67,27.46,226.04,0,5.73,5.6,6.02,8.35,43.74,0.08,1.73,0.92,0.23,13.7,0.13,0.33,25.46,0,1.61,285.07,2.14,0.42,10.96,23.83,0.75,53.94,56.61,0.27,0.19,1.35,0.6,0.5,14.61,2.11
"Tspan32",0,0,0,0,0,0,0,0,0,0,0,0.69,0,717.31,58.59,0,0,0,0,232.25,17.25,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,282.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clec2g",0,0,0,0,8.4,0,0,0,0,0,1.44,0,6.73,0,0,0,0,0,0,0,1.22,0,1.72,0,0,0,0,0,41.49,0,0,0,12.34,114.41,0,12.95,0,0.47,0,0,0,2.33,0,6.36,11.29,0,3.17,8.43,0,202.39,0,0,0,7.72,0,295.25,16.86,9.7,0,7.22,0,2.88,0,0,0,13.03,0,0,47.61,23.7,6.12,10.63,7.62,0,1.32,1.16,26.15,0
"Trim25",0.12,2.64,0,70.44,10.83,0,82.2,17.85,0.17,1.71,4.02,0,0,18.67,22.41,0.17,7.03,4.17,0.2,10.9,29.02,0,2.65,2.99,0,0.94,0,0,88.62,26.95,20.14,7.56,31.88,5.17,0.14,16.07,0.87,0.1,62.86,2.63,215.32,0,1.6,11.36,0,13.35,1.22,65.55,4.42,31.04,0,4.38,69.86,0.38,84.53,1.97,51.64,0,0.17,123.93,0,55.89,0.45,4.41,0.47,19.96,87.88,52.99,13.3,62.7,29.2,5.52,9.76,71.43,4.14,18.23,9.08,28.68
"Scpep1",281.68,576.91,202.91,82.34,123.27,43.21,0,0,1211.7,28.49,98.78,295.45,0,5.77,143.5,16.12,46.74,503.29,171.38,228.98,411.34,4.45,273.23,2.6,279.7,522.09,251.7,258.32,40.74,0,171.04,0,51.49,11.44,58.31,0,51.07,211.25,158.96,22.47,275.1,35.71,0,69,84.9,159.13,138.22,27.69,93.61,66.6,14.54,100.32,0.64,553.94,7.93,36.32,432.58,134,114.92,207.3,0,53.6,9.13,74.82,79.91,79.78,0.4,84.28,5.42,341.91,319.22,60.92,51.06,0,411.2,19.35,67.4,273.77
"Mnt",0,0,0,0,0,1.06,9.32,0.58,0,0.15,0,0,0,0,0,0,0,0,6.11,0,1.83,4.33,0,0,0,0.79,0.17,0,1.57,0,0,6.61,0,11.07,0.17,9.85,1.6,0.35,0.85,0,0,14.38,0,0,0.56,0,0,0,0,0,0,1.6,0,0,14.59,4.69,0,0,0,0.11,0,0,15.03,0,0,16.85,7.7,9.07,17.1,0,9.32,0,34.49,0,2.71,0,8.92,1.02
"Tpd52l1",0,192.48,187.3,0,0,0,0,0,0,19.88,42.95,0,117.61,1.29,9.03,67.11,0,3.08,22.28,84.98,0,14.8,0,0,0,39.3,0,16.53,0,0,46.01,0,0,6.73,74.73,0,39.02,297.53,82.29,0,0,0,0,2.81,0,0,2.17,0,14.22,0,0,56.76,0,0,0,0,0,0,826.34,148.43,0,0,0,0,0,0.56,0,0,25.49,86.01,7.66,0,6.05,0,140.94,11.3,96.29,94.25
"Pemt",312.77,69.72,0,0,0,0,0,0,0,0,3.52,0,0,15.76,0,0,0,0,0,0,37.81,0,0,0,0,0,0,42.82,0,0,0,0,0,0,0,157.92,0,0,0,0,0,0,0,24.72,0,0,116.1,0,0,0,0,0,0,0,326.88,0,0,0,0,0,0,106.07,151.14,0,124.72,0,0.94,0,14.14,0,7.41,0,0,0,0,170.92,21.56,0
"Cdh1",16.83,17.88,101.9,26.68,37.26,0,0,35.39,228.75,0,54.11,0,0.21,188.43,34.54,0,0,25.43,0,2.58,4.44,0,468.45,157.96,35.86,0,0,5.73,14.24,0,54.9,81.69,153.67,8.59,24.63,477,34.2,22.8,125.35,26.34,19.06,132.93,36.92,130.8,68.13,109.25,75.85,117.48,52.7,183.79,99.24,24.68,151.15,9,83.43,1.19,86.35,46.14,58.7,0.12,12.04,52.79,85.67,88.4,44.92,104.44,0,33.83,52.08,163.21,188.5,147.43,27.82,118.82,112.89,44.93,22.02,85.49
"Ckmt1",0,163.82,2.76,0,184.02,0,0,3.9,301.11,0,0,0,0,133.34,0,3.52,0,0,0,0,2.99,0,162.31,0,0,5.52,0,0,1.54,26.6,9.12,247.23,0,214.78,0,386.75,239.24,4.49,0,35.3,138.62,298.71,0,46.91,175.55,0,161.98,0,131.55,11.79,0,0,254.45,0,0,2675.17,0,55.92,71.31,117.71,0,58.56,0,0,2.27,0,18.14,5.23,122.77,0,39.97,239.46,256.42,198.83,17.15,59.44,694.76,0
"Arvcf",0.3,0.54,0,0,0,9.77,0,0,0,0.3,0,14.23,4.18,0,1.32,0,0,15.55,0,20.15,0,0.72,0,0,0,4.17,0,0,0,0,0,0.64,0,0.1,46.99,0,0,0.12,0.14,0,0,0,0,0,0,0,0.3,0.25,14.86,175.37,0,40.79,22.09,15.21,0,27.27,0,0,0.74,0.23,0,0,0,0,54.5,0,0,0,0,0,23.28,0,5.35,28.21,10.96,0,16.39,22.55
"Rtca",0,0,12.92,0,0,0,0,0,2.26,48.82,0,32.04,0,45.83,0,0,4.01,0,1.55,0,0.48,0,0,6.18,0,5,18.91,15.33,0.71,0,6.39,40.05,69.75,19.39,22.19,0,0,0,0.44,5.48,122.08,0,0,5.95,23.03,11.38,0.42,107.75,225.91,0,0,11.95,37.83,0,130.58,81.79,0,1.27,0,72.22,0,0.42,8.31,0,63.94,10.69,131.8,22.18,23.01,0.5,69.87,13.19,0.47,0,25.63,0,27.78,0
"Dbt",0,0,0.28,0,89.14,0.75,0,0,0.12,34.43,0.99,11.74,0,14.98,0.62,0,0,0,64.55,1.09,3.04,16.71,0,0,3.74,0,0,0,0,0.64,8.02,16.18,40.66,4.83,0.11,4.51,0,0,80.96,11.68,0,0,0,0,0.54,1.44,0.19,0.17,0,0.15,1.28,60.6,22.98,0,0.13,0,0,44.2,17.48,12.39,0,0,15.65,21.93,0,6.29,0,0,70.19,4.74,22.97,0.22,0.87,2.75,0,0,7.32,3.75
"Mcts1",58.61,8.68,0,0,0,99.66,0,0,196.42,242.17,267.09,2.82,0,198.32,33.74,92.88,235.61,308.7,163.54,0,401.65,23.39,209.41,2.1,0,129.53,0,52.43,0,101.2,166.42,78.89,4.18,149.28,51.5,62.26,0,58.57,445.6,141.89,13.18,0,78.07,134.87,128.39,91.1,616.14,36.17,146.61,96.42,58.96,306.2,60.17,28.06,442.77,189.12,25.18,64.84,5.43,72.82,0,0,327.17,205.33,72.24,188.42,549.98,40.42,250.7,15.14,232.66,0,142.39,265.54,21.71,0,44.27,351.34
"Rnf17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,40.9,44.4,0,0,0,0,0,179.13,0,0,0,0,22.67,0,0,0,0,0,0,64.01,0,29.1,0,0,0,0,0,0
"Trappc10",0,0,0,0,1.2,0,0.42,9.35,0,0,0,0,0,3.79,0,0,0,0,0.22,0,0,13.73,0,30.77,0,0.95,0.3,0,0.2,0,0,0,0,0,0,0,1.16,0.53,4.48,0,0,0,0,0,0.68,26.94,33.62,0,0,0.1,0,0.77,18.43,2.16,0,0.1,0,0,4.27,0,0,0,0,0,0.13,0,0,0,0.85,0.14,0.12,0,0,0,0,0.94,2.69,0
"Ccm2",0,4.74,0,140.61,0,0,0,0,0,0,11.93,0,0,37.63,0,58.55,0,0,14.37,0,0,0,0,0,28.17,0,13.56,13.44,0,0,0,0,0,28.34,77.67,1.45,2.4,0,0,49.31,0,0,0,7.94,0.49,53.02,0,51.66,2.68,3.46,0,0,0,0,27.76,1.56,0,0,0,183.31,65.37,0,0,0,0,0,0,0,107.23,95.58,3.91,0,0,0,0,0,0.92,0
"Ndufa9",131.33,425.98,314.94,350.89,225.22,421.16,0,20.61,486,338.82,209.43,432.4,3.91,148.69,216.31,64.62,385.37,315,83.75,47.15,119.93,0,194.61,358.29,6.96,162.87,41.24,71.95,43.46,71.76,306.94,321.63,43.7,331.53,8.3,0,544.2,36.48,140.7,443.83,20.5,0,201.29,182.75,18.49,120.56,231.52,94.38,490.92,74.47,326.28,241.75,61.72,276.78,38.26,229.12,312,246.2,3.57,133.66,203.65,636.52,383.21,340.38,264.45,38.93,0,301.53,492.41,153.28,200.57,262.93,200.49,597.29,225.93,0,300.5,209.02
"Egfl6",1.05,0,22.93,0,0,0,0,0,0,0,2.08,0,0,0,9.17,0,0,0,0,0,0,0,0,0,181.1,0,0,0,0,0,0,0,0,241.34,0,124.81,0,10.07,0,12.33,125.7,0,12.12,8.18,235.85,0.29,0,17.63,128.08,2.63,0.79,35.52,0,0,0,0,118.53,0.24,0,24.42,0,0,0,0,3,0,0,0,213.49,0,0,0,0,46.21,14.15,0,183.14,2.12
"Lck",0,6.13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.55,1.58,0,0,34.63,0,0,117.11,0,0,0,3.02,0,14.16,0,0,0,0,0,0,0,0,57.06,0,2.1,4.14,0,0,140.33,0,0,12.92,0,0,0,0,0,0,0,14.21,0,25.85,0,0,25.15,0,0,0,17.86,0,10.37,0
"Cttnbp2",0,6.11,2.04,0,0,3.4,0,0,0,2.12,28.27,0.4,0,9.06,27.86,0,0.59,12.44,0.85,0.42,0,0,0,0,0,1.14,0,10.59,0,0,0,0,22.03,0.11,0,127.26,0,4.63,10.86,0,0,0,0,0,0,0,0,0,0,1.08,21.35,0.2,0,0,0,74.74,0,81.51,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,110.67,0,0,0,8.45,0
"Galnt1",0.92,34.38,7.18,86.34,0,0.32,17.44,43.06,48.15,35.07,11.17,23.79,26.82,47.96,19.66,0,37.15,275.56,221.32,63.35,86.57,0,112.98,0.69,13.29,175.15,144.77,148.76,0,2,6.9,15.87,70.41,0,1.94,1.82,13.4,11.66,2.23,23.04,0,0,52.17,11.81,0.23,35.4,48.01,0,21.23,28.87,28.92,10.29,63.25,0,0.22,41.86,12.43,0.34,0,22.44,1.53,0,18.52,73.43,63.04,0.34,169.46,6.4,54.75,10.12,1.32,8.03,15.24,0.26,92.82,9.22,74.9,0.5
"Mkrn2",0,0,0,0,9.61,0,61.27,28.78,0,22.65,57.79,35.71,0,6.71,41.07,1.94,13.68,87.52,103.51,0,8.21,0,36.95,0,0,44.38,540.54,14.22,175.72,49.54,212.67,42.61,0,106.16,3.4,23.37,0,1.81,4.27,5.07,46.89,0,13.71,59.19,0,46.17,0,112.7,103.17,15.04,1.69,112.35,1.18,0,0,0,30.05,3.15,0,0,0,12.33,54.63,0,253.56,0,0,4.72,8.73,20.48,37.1,142.98,0,0,112.14,31.05,83.1,0
"Sept1",28.4,0,97.83,5.48,734.75,0,0,13.74,0,26.61,0,0,0,1037.14,74.85,0,0,0,15.13,0,27.87,0,0,0,0,9.59,138.87,0,0,0,56.64,133.94,10.85,243.89,0,1563.45,27.12,1159.45,0,208.47,10.13,0,13.62,93.49,3.81,502.86,179.18,0,281.51,286.38,364.4,471.78,4.92,1.12,0,1376.45,1.68,708.23,1155.27,8.4,0,30.67,23.06,293.55,15.78,0,0,171.36,1620.54,318.43,16.98,0,295.87,0,457.88,0,1015.52,10.6
"Tom1l2",24.54,0,0,16.24,0,0.33,31.89,0,0,2.01,110.42,0,0,4.39,3.99,0,26.58,0,0,0,0,0,9.42,12.33,0,0,8.71,0.16,0,0,0,0,7.37,0,0,0,0,0,1.72,0,0,0,0,0,1.09,0,0,0,0,0,16.55,1.5,0.93,0.17,0,6.34,1.82,3.05,0,0,0,0,1.99,29.52,3.3,0,0,16.43,0,0,1.25,7.08,96.69,0.53,0,0,4.43,0
"Gpa33",4.23,0,0,0,54.13,0,0,0,95.03,0,0,0,0,39.39,19.33,0,0,0,0,0,0,0,99.47,0,0,7.91,0,0,0,0,0,0.46,8.04,49.15,60.82,2.46,37.63,24.03,0,20.37,197.87,0,25.68,42.01,288.25,25.86,60.16,0,13.79,124.18,26.05,48.07,13.39,17.09,25.01,2.22,0,32.42,0,116.2,0,0.29,65.67,5.44,10.67,48.39,0,16.75,41.32,106.94,75.25,10.66,69.83,32.83,46.75,0,67.21,1.31
"Itga5",0,70.99,12.92,0,9.38,0,0,0.2,0,0,0,0,0,0,0,0.22,0.74,0.26,15.67,0,8.02,12.89,0,20.35,0,11.85,0,6.48,0,0.94,0,2.46,44.96,6.52,5.84,0,0,0.12,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0.11,0,0,0.78,0,0.44,0,0,0,0,0.28,0,0,0,0,0,0,2.99
"Atp5f1",1219.84,552.61,756.71,457.3,953.24,1169.51,947.89,340.84,648.31,504.94,609.76,584.71,18.06,602.8,529.52,670.03,365.84,786.39,307.22,430.13,264.7,20.27,770.41,57.83,619.19,242.19,344.79,696.09,770.23,525.69,1074.92,785.11,162.93,899.59,289.75,474.52,766.02,498.72,1104.6,658.95,560.15,885.72,899.12,868.62,473.28,484.11,1331.65,490.63,1026.14,422.42,930.21,830.37,750.57,605.36,603.78,535.85,853.66,1002.82,794.65,438.23,136.66,442.84,393.27,664.12,673.17,847.38,993.26,826.16,399.39,1166.97,752.24,1159.6,371.49,102.61,717.32,803.17,550.79,928.72
"Sox9",0,29.19,18.29,0,0,0,20.96,79.78,0,44.72,0,0,0,0,0,3.52,0,0,7.1,0.21,6.98,0,8.14,0,0,7.32,9.42,2.72,0,14.45,5.18,0,0,0,0,0,0,0,0,0,4.91,0,0.2,0,0.21,0,10.6,0,0,46.89,9.57,0,0,0,21.22,0,0,0,0,3.97,0,0,0,103.37,10.64,0,14.82,0,0,0,0,0,0,0,0,0,0,0
"Dynlt1c",168.31,46.62,4.01,12.82,114.18,1.5,2.23,3.38,163.79,76.83,48.34,358.11,0.7,38.51,20.16,220.98,97.1,182.33,4.05,405.78,139.92,1.23,3.45,1.96,1.17,101.39,165.96,0.95,2.13,102.78,15.23,4.97,38.89,1.93,88.84,61.06,162.73,39.43,3.67,8.06,0,4.51,166.29,13.64,7.2,9.13,18.75,3.37,28.15,6.35,3.14,30.87,11.07,38.83,6.38,4.74,280.58,25.51,0,110.2,6.59,1.4,13.43,2.08,9.98,6.14,9.65,0.95,15.38,81.58,15.41,8.11,4.7,7.59,79.49,50.04,7.88,74.11
"C1d",116.16,70.33,208.8,45.92,109.23,61.86,0,199.58,44.44,79.57,76.57,180.35,403.85,159.81,84.67,134.58,65.19,80.04,152.05,173.55,44.16,78.97,30.01,22.72,171.7,126.9,138.99,23.55,18.23,0.71,54.32,42.19,96.85,60.47,17.28,130.42,334.21,154.14,142.16,72.21,243.81,0,86.94,139.24,50.52,166.04,101.36,184.78,110.18,31.45,196.18,124.02,88.86,130.75,115.15,53.27,40.32,29.99,146.89,90.22,172.45,74.11,320.36,140.85,120.92,103.87,238.01,43.77,65.89,22.91,145.6,48.59,138.91,6.1,168.62,12.98,60.05,81.92
"Gm2a",90.77,144.8,195.53,2358.26,353.97,426.66,2190.13,68.18,247.19,255.67,160.73,172.6,327.74,122.41,123.55,146.85,370.05,593.56,207.55,357.05,42.66,151.99,148.9,110.81,343.83,294.5,295.93,104.24,681.89,227.23,111.97,88.07,500.53,164.56,226.62,20.43,366.57,381.92,86.81,243.16,14.76,361.77,68.77,77.3,166.45,195.44,107.14,175.45,61.17,339.82,224.05,102.5,228.58,220.88,560.94,112.65,161.1,81.26,508.86,58.78,99.53,454.84,39.84,56.88,186.79,194.07,183.06,65.35,140.56,134.39,195.12,176.26,105.81,318.04,395.48,654.53,28.69,28.17
"Krit1",0.68,0.41,14.2,1.07,47.2,21,0,1.47,0.15,4.05,0.25,0,3.87,2.3,20.87,0,0,0,37.29,112.56,45.26,41.88,60.66,0,0,30.41,3.23,0.68,0,0,64.6,16,1.08,6.08,0.5,94.65,16.64,74.97,20.21,3.03,0,0.44,0.27,12.28,0.84,25.01,52.47,184.82,23.82,20.25,0,0,85.7,1.55,11.06,27.42,2.35,14.94,9.8,10.55,2.33,0,1.77,15.58,16.96,80.99,0,37.17,0,5.77,7.53,4.09,0,4.82,60.68,41.59,33.22,16.12
"Clcn4-2",175.77,0,2.15,2.13,0.17,22.4,0,0,0,0.15,9.17,0,0,13.68,8.51,159.75,57.47,0,0.98,0,0.15,0,1.22,2.25,0,0,0,5.41,0,0,22.67,0.32,1.44,0,0,3.7,0,0,0,0.97,0,0,31.39,29.04,0.94,0,5.72,0,0.1,0,0,22.2,34.54,20.21,0,8.03,0,7.5,0,0.12,0.21,0,0,3.74,0,1.26,42.45,0,0,0,13.41,0,0,0,0,87.88,29.68,1.64
"Hk2",1325.95,290.8,307.38,42.14,1375.06,2001.14,0,577.22,1830.5,135.01,715.19,1780.29,580.58,871.9,1709.36,1321.38,1069.11,517.06,904.68,840.09,2043.91,9.94,372.31,664.57,2698.67,1337.91,138.61,94.02,1004.66,281.28,952.57,390.58,0,418.36,435.26,338.08,519.81,2318.64,208.62,318.28,2143.47,716.52,674.97,582.26,368.17,624.92,235.17,27.58,563.15,1305.94,275.01,973.78,429.79,1777.09,1982.71,702.58,697.82,504.26,8.05,319.28,501.4,744.77,230.61,1655.85,1650.79,1123.95,3734.19,1763.17,399.89,90.08,506.94,264.86,99.07,229.45,158.34,1360.74,380.06,566.75
"Myo18a",0.59,73.37,0.41,0,0.94,0,0.19,4.55,0,2.38,29.37,0,0,0,0.26,143.19,0.91,0,0.06,7.96,32.81,0,6.29,538.74,0,16.82,0.55,13.08,0,198.23,0,0.35,13.45,5.46,43.51,0.77,0.35,88.8,0.95,1.09,0.45,1.05,3.42,43.56,2.38,0.29,0.5,0.43,1.47,0.72,4.21,1.94,12.59,0.13,55.06,106.95,36.86,7.46,4.09,0.39,0.32,0,0.7,23.28,69.27,64.59,373.89,0.05,0,40.7,5.59,0.19,3.13,0.1,2.24,1.56,2.84,31.04
